pour mon alliance,0
Montagne russe ici :D,0
ok bonne nouvelle alors :D,0
"Ouais mais le jury est payé, comme tous leurs supporters x)",0
non on est de toutes les planètes ^^,0
donne pass metha contre pass kalio,0
Hello ,0
ca vas flames ?,0
"Par contre les gars, faut être au taquet pour la défenser parce que quand les boucliers vont tomber, ça va attaquer de partout",0
"J'ai un superviseur de carmen , quelqu'un sait a quoi sa sert a part l'attaquer ? ^^ 
",0
bizoir,0
Coucou mon cochon :p,0
"je suis le numero 69 de la planete LOL
j'ai rejoin Alba le premier hier juste apres la fermuture du live j'etiat le numero 1 dans le monde et ensuite le serveur a commencer a lagger",0
o/,0
"Bonjour lemalin,

J'ai bien reçu ta demande, peux-tu s'il te plait venir sur notre forum nous donner tes ambitions sur le jeu et pourquoi tu voudrais rejoindre la Confédération Minière ? Notre forum est ici : http://confminiere.forumactif.org/f2-candidatures

A bientôt ! :-)

Morgan",0
"Bonjour, suite aux attentats d'hier soir, je pense qu'il serait bien de faire une minute de silence en hommage aux 127 victimes !",0
Err :510,0
Neeed,0
(+ bases d'Hishi ^^),0
"ouaip, alors, ta base en est ou? ^^",0
"tu as un tuto sur les recherches tu l'as fait ?
j'ai pris les promethée",0
hello world,0
Salut a tous,0
coucou ma caille,0
Et Gibus était 2ème moi 3ème cette nuit ^^,0
"Hum, si ça commence a faire beaucoup d'alliance ça ^^",0
cherche une personne pour échanger un pass Métha contre Z42,0
"Bien le bonsoir a vous, amis.",0
"Justement, on sait pas. Lis le lore de la planète, c'est intriguant ^^",0
"Je cite : "" Les Superviseurs pourront être conquis par les Alliances par la suite. Ils permettent de prélever des Impôts sur les Bases dans la Zone d'influence du Superviseur ""
",0
"j'ai aussi un ami proche de toi (number6406), on va voir voir pour s'allier, si ça se fait on te proposera peut-être de nous rejoindre aussi si tu veux bénéficier d'une alliance rapidement ^^",0
j'attend les ordres des grand  patron tu sais ^^,0
woolies je suis allez sur help mais il est dead^^,0
Salut :D,0
"Lu, je suis ton voisin, je sais pas pour toi, mais je prévois pas d'attaquer mes voisins proches, je préfère en faire des alliés, donc j'espère qu'on entretiendra de bonnes relations ! ;)",0
J'ai qu'un billet ca va etre dur,0
"ouffff, t'es en avance!!!!!

Bon ben moi je vais me coucher, avec un beau retard visiblement, j'essaierai de rattraper ça demain ;)

bonne nuit!",0
Je suis un paradoxe paradoxlament paradoxal.,0
"Coucou, tu vas bien ? 
Serena de la fyw sur fourmizzz?",0
d'accord moi aussi,0
il faut les mp ?,0
oh gg :p,0
fulguropoing....ca t apprendra :p,0
Nul ce jeu ^^,0
et le remboursement de flotte sur le bug houds il arrive quand XD,0
,0
on est déjà 168 sur la planète ^^,0
"Ca se passe très bien, malgré des ralentissements et les bâtiments qui ont un peu de mal à se terminer.",0
"je vais scanner un mec juste en dessous de toi, faudrait sympathiser avec lui aussi histoire d'éviter les conflits",0
ok ;),0
La fourchette entre les bonnus et malus est de combien ?,0
Echange Pas METAH CHRONOS ou Z42 contre un pass KALIO,0
Bienvenue à toi:p,0
Bonsoir les insectes,0
C'est moi qui vais être le principal acteur de parole :D,0
l,0
"tout est possible, si t'utilises un peu ta tête x)",0
slt*,0
Bonjour.,0
moroo libre !!!!!,0
:D,0
salut,0
"J'ai 30 ans depuis le mois d'Avril :( :'(
",0
"promethe
",0
oki,0
"Ok, merci Nebula :)",0
"j'ai renvoyé une attaque avec 95 Mikron, j'ai tout laissé par defaut cette fois ci ... juste attaque ... impact dans 29minutes , on verra bien ... question : y a un moyen de linker le RC à un autre joueur ?",0
Grâce a .... a     herofestival  ;),0
Qui est sur Thorus,0
on s'en fous,1
Ou vous continuez a faire vos couilles molles et pas assumer ?,1
#Black2fragile,1
je reste debout parce que quand jme met à genoux c'est pas pour prier,1
http://cursors.io/,1
et ds les games jte karrys ton boule donc stfu noob,1
y a des guignols qui m'énerve j'y peux rien,1
un jour vous aurez les couilles de déclarer une guerre et pas de TP un base a 5H du mat,1
ta gueeeeeeeeeeule,1
oui bousiller les denssifieurs entre autres,1
c'est tjrs des barbouzes de ton genre Spectre54 & co qui foutent la merde et qui se plaignent que ça pue après,1
"non, puisque visiblement, te parlant, je suis actif (sa aide vraiment pas, la consanguinité, hein?) je parle notament de jealoan, qui a une attaque groupée en cours, dirigée sur lui, alors qu'il ne joue plus",1
